Tipo di attività,Data,Preferita,Titolo,Distanza,Calorie,Tempo,FC Media,FC max,TE attività aerobica,Cadenza di corsa media,Cadenza di corsa max,Passo medio,Passo migliore,G. quota,Perdita quota,Lunghezza media passo,Media rapporto verticale,Media oscillazione verticale,Tempo medio di contatto con il suolo,Media bilanciamento TCS,Cadenza di corsa media,Cadenza di corsa max,Normalized Power® (NP®),Training Stress Score®,Potenza media massima (20 min),Potenza media,Potenza max,Grit,Flow,Totale bracciate,Swolf medio,Frequenza media vogate,Tempo sul fondale,Temperatura min,Intervallo di superficie,Decompressione,Tempo Lap migliore,Numero di Lap,Temperatura max
Nuoto in piscina,2020-06-11 18:34:13,false,"Nuoto in piscina","1,950","407","00:45:13","--","--","--","--","--","2:19","1:51","--","--","0.00","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","1241","51","27","0:00","29.0","0:00","No","45:12.68","1","0.0"
Corsa,2020-06-09 18:04:09,false,"Bergamo Corsa","13.01","886","01:03:46","164","180","3.7","160","174","4:54","4:05","294","249","1.27","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","25.0","0:00","No","00:02.01","14","0.0"
Nuoto in piscina,2020-06-08 17:23:04,false,"Nuoto in piscina","1,750","367","00:40:01","--","--","--","--","--","2:17","1:46","--","--","0.00","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","1110","50","28","0:00","29.0","0:00","No","16:12.44","2","0.0"
Corsa,2020-06-06 13:56:23,false,"Gazzaniga Corsa","22.35","1,706","01:57:26","170","186","3.9","159","180","5:15","3:43","665","499","1.20","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","28.0","0:00","No","02:21.28","23","0.0"
Cardio,2020-06-03 20:53:15,false,"Cardio","0.00","12","00:05:59.6","68","92","0.0","--","--","--","--","--","--","0.00","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","30.0","0:00","No","05:59.56","1","0.0"
Ciclismo,2020-06-01 08:20:32,false,"Gazzaniga Ciclismo","133.46","3,856","05:45:52","139","182","4.3","--","--","23.2","60.1","2,909","2,690","0.00","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","19.0","0:00","No","04:48.87","27","0.0"
Corsa,2020-05-30 17:30:45,false,"Gazzaniga Corsa","6.29","578","00:55:11","144","180","2.4","123","218","8:46","4:09","370","521","0.91","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","22.0","0:00","No","01:40.03","7","0.0"
Corsa,2020-05-30 17:03:25,false,"Gazzaniga Corsa","1.96","216","00:24:16","113","139","0.9","102","201","12:22","5:11","492","--","0.77","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","22.0","0:00","No","08:45.24","2","0.0"
Ciclismo,2020-05-29 17:32:08,false,"Gazzaniga Ciclismo","55.78","1,225","02:22:27","128","179","3.0","--","--","23.5","68.9","1,242","989","0.00","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","20.0","0:00","No","03:36.90","12","0.0"
Corsa,2020-05-28 18:54:52,false,"Gazzaniga Corsa","8.23","497","00:48:11","132","183","2.3","142","204","5:51","3:00","453","229","1.17","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","21.0","0:00","No","01:30.89","9","0.0"
Ciclismo,2020-05-27 17:08:28,false,"Bergamo Ciclismo","43.75","1,154","01:56:53","136","184","3.7","--","--","22.5","51.0","990","827","0.00","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","23.0","0:00","No","07:39.94","9","0.0"
Corsa,2020-05-26 18:03:23,false,"Bergamo Corsa","14.01","923","01:09:39","160","178","3.6","160","174","4:58","3:40","326","262","1.25","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","27.0","0:00","No","00:01.87","15","0.0"
Ciclismo,2020-05-24 12:43:00,false,"Gazzaniga Ciclismo","88.78","2,405","03:05:34","152","174","3.8","--","--","28.7","56.0","1,326","1,258","0.00","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","25.0","0:00","No","07:27.94","18","0.0"
Escursionismo,2020-05-23 09:36:38,false,"Gazzaniga Escursionismo","11.01","881","02:14:15","120","169","2.8","96","239","12:12","4:29","693","751","0.86","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","25.0","0:00","No","00:00.00","1","0.0"
Ciclismo,2020-05-22 17:01:29,false,"Gazzaniga Ciclismo","47.61","1,612","02:11:50","146","178","3.5","--","--","21.7","59.5","1,305","1,209","0.00","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","21.0","0:00","No","03:32.95","10","0.0"
Corsa,2020-05-21 18:16:02,false,"Gazzaniga Corsa","10.44","712","00:58:44","151","177","3.2","158","174","5:37","3:52","455","382","1.12","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","22.0","0:00","No","02:16.79","11","0.0"
Ciclismo,2020-05-20 17:30:45,false,"Bergamo Ciclismo","62.89","1,792","02:35:11","146","190","4.0","--","--","24.3","54.0","1,038","861","0.00","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","22.0","0:00","No","05:49.30","13","0.0"
Cardio,2020-05-19 20:22:31,false,"Cardio","0.00","89","00:34:51","74","115","0.1","--","--","--","--","--","--","0.00","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","27.0","0:00","No","00:00.00","1","0.0"
Corsa,2020-05-18 17:26:48,false,"Gazzaniga Corsa","10.11","752","00:53:04","164","182","4.2","160","179","5:15","3:45","304","301","1.19","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","26.0","0:00","No","00:41.89","11","0.0"
Ciclismo,2020-05-17 10:42:06,false,"Gazzaniga Ciclismo","47.71","1,712","02:23:32","150","184","4.4","--","--","19.9","56.9","1,268","1,214","0.00","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","22.0","0:00","No","07:43.31","10","0.0"
Escursionismo,2020-05-16 14:06:52,false,"Gazzaniga Escursionismo","7.96","707","02:01:16","110","157","1.6","75","213","15:14","4:12","379","404","0.88","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","19.0","0:00","No","00:00.00","1","0.0"
