Tipo di attività,Data,Preferita,Titolo,Distanza,Calorie,Tempo,FC Media,FC max,TE attività aerobica,Cadenza di corsa media,Cadenza di corsa max,Passo medio,Passo migliore,G. quota,Perdita quota,Lunghezza media passo,Media rapporto verticale,Media oscillazione verticale,Tempo medio di contatto con il suolo,Media bilanciamento TCS,Cadenza di corsa media,Cadenza di corsa max,Normalized Power® (NP®),Training Stress Score®,Potenza media massima (20 min),Potenza media,Potenza max,Grit,Flow,Totale bracciate,Swolf medio,Frequenza media vogate,Tempo sul fondale,Temperatura min,Intervallo di superficie,Decompressione,Tempo Lap migliore,Numero di Lap,Temperatura max
Corsa,2020-03-07 11:31:22,false,"Cene Corsa","12.00","873","00:50:06","171","188","4.2","163","185","4:11","3:34","94","92","1.47","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","22.0","0:00","No","00:00.47","14","0.0"
Sci di fondo classico,2020-03-06 20:50:27,false,"Gandino Sci di fondo classico","6.14","677","02:08:06","96","155","2.0","30","170","2.9","30.1","433","408","4.12","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","15.0","0:00","No","06:20.52","7","0.0"
Ciclismo,2020-03-05 18:02:14,false,"Bergamo Ciclismo","29.48","586","01:02:20","124","145","1.8","--","--","28.4","31.4","8","25","0.00","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","25.0","0:00","No","09:24.66","6","0.0"
Corsa,2020-03-04 19:53:02,false,"Bergamo Corsa","2.11","152","00:09:13.7","161","171","2.2","166","175","4:23","4:00","22","8","1.32","6.9","9.3","263","50.8% S / 49.2% D","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","19.0","0:00","No","00:29.52","3","0.0"
Corsa,2020-03-04 19:27:16,false,"Bergamo Corsa","5.01","344","00:19:35","173","180","3.2","169","219","3:54","3:17","40","23","1.50","6.1","9.5","250","50.8% S / 49.2% D","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","17.0","0:00","No","00:01.88","6","0.0"
Ciclismo,2020-03-04 18:04:54,false,"Bergamo Ciclismo","45.02","1,111","01:13:05","155","165","3.8","--","--","37.0","41.3","7","24","0.00","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","19.0","0:00","No","00:01.02","10","0.0"
Corsa,2020-03-03 17:48:31,false,"Bergamo Corsa","14.00","961","01:14:55","149","172","3.3","161","185","5:21","3:48","255","265","1.16","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","16.0","0:00","No","00:01.18","15","0.0"
Corsa,2020-03-01 11:06:07,false,"Gazzaniga Corsa","21.18","1,731","01:52:21","160","183","4.1","162","176","5:18","3:47","382","364","1.17","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","13.0","0:00","No","01:10.46","22","0.0"
Ciclismo,2020-02-29 09:03:08,false,"Gazzaniga Ciclismo","100.70","2,367","03:47:41","139","182","3.1","--","--","26.5","62.1","1,197","1,084","0.00","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","15.0","0:00","No","02:46.87","21","0.0"
Corsa,2020-02-27 18:24:49,false,"Bergamo Corsa","7.02","333","00:27:48","137","173","2.2","168","191","3:58","3:18","55","18","1.50","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","15.0","0:00","No","00:03.90","8","0.0"
Ciclismo,2020-02-26 18:31:12,false,"Bergamo Ciclismo","30.60","608","01:00:01","129","143","2.0","--","--","30.6","33.3","8","39","0.00","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","24.0","0:00","No","01:09.26","7","0.0"
Corsa,2020-02-25 19:48:25,false,"Bergamo Corsa","2.47","189","00:11:33","160","166","2.3","158","166","4:40","4:11","19","6","1.32","7.4","10.1","269","50.8% S / 49.2% D","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","22.0","0:00","No","02:12.22","3","0.0"
Corsa,2020-02-25 19:25:10,false,"Bergamo Corsa","5.01","339","00:20:00","170","180","3.1","163","178","3:59","3:31","33","17","1.54","6.6","10.6","251","50.7% S / 49.3% D","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","21.0","0:00","No","00:03.28","6","0.0"
Ciclismo,2020-02-25 17:50:05,false,"Bergamo Ciclismo","46.14","1,112","01:15:01","154","167","3.7","--","--","36.9","42.4","10","16","0.00","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","21.0","0:00","No","01:47.29","10","0.0"
Corsa,2020-02-24 18:44:45,false,"Bergamo Corsa","10.76","822","00:54:54","157","180","3.4","160","177","5:06","4:12","227","235","1.22","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","19.0","0:00","No","03:25.36","11","0.0"
Ciclismo,2020-02-22 13:59:55,false,"Gazzaniga Ciclismo","56.14","1,386","02:17:07","136","172","2.8","--","--","24.6","52.9","1,025","991","0.00","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","14.0","0:00","No","01:42.12","12","0.0"
Nuoto in piscina,2020-02-21 12:12:58,false,"Nuoto in vasca","2,525","550","00:54:05","--","--","--","--","--","2:09","1:06","--","--","0.00","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","1558","48","29","0:00","28.0","0:00","No","04:57.77","4","0.0"
Corsa,2020-02-20 18:07:56,false,"Bergamo Corsa","15.03","972","01:18:26","146","167","3.1","164","181","5:13","4:02","277","260","1.17","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","16.0","0:00","No","00:07.73","16","0.0"
Corsa,2020-02-18 18:33:37,false,"Paris Corsa","15.01","1,025","01:06:07","159","181","3.8","161","231","4:24","3:31","62","36","1.41","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","16.0","0:00","No","00:02.82","16","0.0"
Ciclismo,2020-02-17 14:49:11,false,"Bergamo Ciclismo","33.04","630","01:00:01","131","149","2.1","--","--","33.0","38.4","6","9","0.00","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","21.0","0:00","No","05:19.58","7","0.0"
Ciclismo,2020-02-16 09:54:18,false,"Gazzaniga Ciclismo","68.03","1,931","02:54:13","145","188","3.1","--","--","23.4","60.3","1,576","1,538","0.00","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","13.0","0:00","No","04:32.63","14","0.0"
Sci di fondo classico,2020-02-15 10:38:24,false,"Castione della Presolana Cross Country Classic Skiing","5.70","541","01:23:40","105","143","0.9","38","243","4.1","43.8","317","350","2.33","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","18.0","0:00","No","08:26.12","6","0.0"
Nuoto in piscina,2020-02-14 12:12:01,false,"Nuoto in vasca","1,675","392","00:43:01","--","--","--","--","--","1:55","1:03","--","--","0.00","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","950","43","30","0:00","28.0","0:00","No","00:08.89","30","0.0"
Ciclismo,2020-02-13 18:26:47,false,"Bergamo Ciclismo","27.74","657","00:45:01","152","174","3.2","--","--","37.0","48.6","4","8","0.00","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","19.0","0:00","No","04:34.18","6","0.0"
Corsa,2020-02-12 21:09:40,false,"Bergamo Corsa","9.20","498","00:41:28","140","183","2.3","164","243","4:30","2:59","229","182","1.35","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","17.0","0:00","No","01:02.77","10","0.0"
Corsa,2020-02-11 19:26:30,false,"Bergamo Corsa","10.01","802","00:51:59","159","170","3.4","162","179","5:12","4:11","191","157","1.16","7.8","9.2","285","50.8% S / 49.2% D","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","21.0","0:00","No","00:02.55","11","0.0"
Ciclismo,2020-02-11 18:08:36,false,"Bergamo Ciclismo","44.02","1,078","01:11:18","156","168","3.8","--","--","37.0","40.9","7","21","0.00","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","20.0","0:00","No","01:59.42","11","0.0"
Nuoto in piscina,2020-02-10 12:26:16,false,"Nuoto in vasca","1,925","435","00:41:23","--","--","--","--","--","2:07","0:48","--","--","0.00","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","1131","47","28","0:00","28.0","0:00","No","00:05.55","7","0.0"
Ciclismo,2020-02-09 13:38:05,false,"Gazzaniga Ciclismo","42.87","935","01:54:55","124","147","2.1","--","--","22.4","51.8","717","718","0.00","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","15.0","0:00","No","07:51.03","9","0.0"
Corsa,2020-02-08 16:35:19,false,"Nembro Corsa","7.01","556","00:38:19","150","160","2.9","162","172","5:28","4:43","46","41","1.13","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","19.0","0:00","No","00:01.27","8","0.0"
Corsa,2020-02-08 15:40:07,false,"Nembro Corsa","10.01","610","00:42:34","154","182","3.3","163","183","4:15","3:01","77","35","1.44","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","18.0","0:00","No","00:02.20","11","0.0"
Ciclismo,2020-02-06 18:24:22,false,"Bergamo Ciclismo","25.04","569","00:42:50","147","171","3.0","--","--","35.1","48.9","10","20","0.00","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","20.0","0:00","No","00:04.28","6","0.0"
Nuoto in piscina,2020-02-06 12:21:15,false,"Nuoto in vasca","1,650","400","00:41:35","--","--","--","--","--","1:51","1:05","--","--","0.00","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","891","41","29","0:00","28.0","0:00","No","00:04.68","36","0.0"
Corsa,2020-02-05 20:39:16,false,"Bergamo Corsa","9.83","595","00:48:25","143","182","2.4","164","185","4:56","3:47","185","112","1.24","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","14.0","0:00","No","04:07.44","10","0.0"
Corsa,2020-02-04 19:12:15,false,"Bergamo Corsa","8.01","608","00:41:25","156","168","3.1","164","224","5:10","4:21","131","113","1.14","7.8","9.1","280","51.1% S / 48.9% D","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","16.0","0:00","No","00:02.67","9","0.0"
Ciclismo,2020-02-04 17:47:41,false,"Bergamo Ciclismo","48.17","1,103","01:17:01","156","170","4.0","--","--","37.5","42.0","3","25","0.00","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","21.0","0:00","No","02:14.13","11","0.0"
Corsa,2020-02-02 09:40:14,false,"Bergamo Corsa","20.99","1,556","01:34:32","170","192","5.0","161","178","4:30","3:50","119","123","1.38","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","17.0","0:00","No","04:13.47","21","0.0"
Sci di fondo classico,2020-02-01 12:22:06,false,"Gromo Cross Country Classic Skiing","3.83","723","02:20:28","92","181","2.5","27","191","1.6","57.2","432","61","1.74","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","17.0","0:00","No","00:03.71","8","0.0"
Sci di fondo classico,2020-01-30 18:59:49,false,"Gromo Cross Country Classic Skiing","4.73","591","00:44:23","145","168","3.0","78","159","6.4","57.3","480","463","2.97","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","15.0","0:00","No","01:07.63","5","0.0"
Nuoto in piscina,2020-01-30 12:15:57,false,"Nuoto in vasca","1,725","369","00:38:13","--","--","--","--","--","2:13","1:06","--","--","0.00","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","1054","49","28","0:00","28.0","0:00","No","00:00.00","1","0.0"
Corsa,2020-01-28 17:45:07,false,"Bergamo Corsa","9.01","618","00:40:38","161","183","3.4","158","181","4:31","3:18","26","35","1.40","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","13.0","0:00","No","00:02.52","10","0.0"
Ciclismo,2020-01-27 21:22:41,false,"Bergamo Ciclismo","37.03","847","01:00:11","150","165","3.5","--","--","36.9","41.8","11","7","0.00","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","22.0","0:00","No","03:44.29","8","0.0"
Corsa,2020-01-26 17:17:33,false,"Gazzaniga Corsa","8.69","544","00:41:55","149","181","2.8","159","187","4:49","3:21","256","221","1.30","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","14.0","0:00","No","03:31.82","9","0.0"
Ciclismo,2020-01-25 13:47:57,false,"Gazzaniga Ciclismo","68.53","1,404","02:25:29","133","171","2.6","--","--","28.3","52.2","554","526","0.00","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","13.0","0:00","No","07:43.03","14","0.0"
Corsa,2020-01-25 10:46:49,false,"Gazzaniga Corsa","16.14","1,278","01:24:06","160","179","4.4","161","181","5:13","3:48","373","356","1.19","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","15.0","0:00","No","00:50.74","17","0.0"
Nuoto in piscina,2020-01-24 12:18:07,false,"Nuoto in vasca","1,800","457","00:46:50","--","--","--","--","--","1:55","0:53","--","--","0.00","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","972","42","28","0:00","28.0","0:00","No","00:15.88","37","0.0"
Corsa,2020-01-22 18:23:16,false,"Paris Corsa","8.21","452","00:36:02","148","184","3.0","156","181","4:23","3:02","26","14","1.45","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","9.0","0:00","No","00:05.91","13","0.0"
Ciclismo,2020-01-21 14:08:59,false,"Bergamo Ciclismo","37.51","850","01:00:02","153","167","3.7","--","--","37.5","42.9","5","11","0.00","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","21.0","0:00","No","04:36.66","8","0.0"
Nuoto in piscina,2020-01-20 12:20:27,false,"Nuoto in vasca","1,975","488","00:44:46","--","--","--","--","--","2:13","0:59","--","--","0.00","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","1211","48","28","0:00","27.0","0:00","No","00:04.52","9","0.0"
Corsa,2020-01-19 15:45:40,false,"Gazzaniga Corsa","25.15","1,899","02:19:21","158","181","4.4","157","170","5:32","3:57","461","462","1.15","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","13.0","0:00","No","01:05.65","26","0.0"
Sci di fondo classico,2020-01-18 14:22:58,false,"Gromo Cross Country Classic Skiing","7.22","744","01:25:25","129","180","3.1","50","236","5.1","61.0","900","919","3.05","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","9.0","0:00","No","00:19.70","8","0.0"
Sci di fondo classico,2020-01-16 20:13:46,false,"Gromo Cross Country Classic Skiing","3.97","395","00:36:20","130","162","2.4","77","159","6.5","54.7","412","420","3.82","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","13.0","0:00","No","01:14.29","4","0.0"
Corsa,2020-01-15 20:23:24,false,"Bergamo Corsa","14.67","932","01:08:36","151","187","2.7","159","211","4:41","3:19","249","195","1.35","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","15.0","0:00","No","03:29.67","15","0.0"
Nuoto in piscina,2020-01-14 12:14:01,false,"Nuoto in vasca","1,825","469","00:47:59","--","--","--","--","--","1:53","1:02","--","--","0.00","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","969","41","28","0:00","27.0","0:00","No","00:16.24","35","0.0"
Ciclismo,2020-01-13 17:56:07,false,"Bergamo Ciclismo","38.04","880","01:00:03","159","172","3.9","--","--","38.0","50.2","5","10","0.00","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","21.0","0:00","No","00:57.57","10","0.0"
Corsa,2020-01-11 16:26:35,false,"Gazzaniga Corsa","5.01","370","00:23:46","164","182","3.2","159","181","4:45","3:26","127","109","1.33","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","16.0","0:00","No","00:03.21","6","0.0"
Ciclismo,2020-01-11 13:37:44,false,"Gazzaniga Ciclismo","81.04","1,784","02:37:59","146","185","3.2","--","--","30.8","55.3","608","596","0.00","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","17.0","0:00","No","04:30.02","17","0.0"
Nuoto in piscina,2020-01-10 11:55:41,false,"Nuoto in vasca","1,775","445","00:48:24","--","--","--","--","--","2:00","1:26","--","--","0.00","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","1027","44","29","0:00","28.0","0:00","No","00:01.07","40","0.0"
Corsa,2020-01-08 18:40:29,false,"Paris Corsa","8.41","511","00:39:36","147","173","2.9","147","180","4:42","2:51","37","6","1.43","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","18.0","0:00","No","00:01.79","14","0.0"
Ciclismo,2020-01-07 07:52:35,false,"Bergamo Ciclismo","31.98","759","00:55:02","153","168","3.6","--","--","34.9","40.0","4","13","0.00","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","22.0","0:00","No","01:02.79","9","0.0"
Sci di fondo classico,2020-01-06 08:02:22,false,"Castione della Presolana Cross Country Classic Skiing","7.01","866","01:34:02","128","170","3.0","60","170","4.5","68.0","846","849","2.88","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","10.0","0:00","No","00:03.30","8","0.0"
Multisport,2020-01-04 14:01:47,false,"Casnigo Multi-Sport","50.48","1,657","02:41:25","--","179","3.7","--","--","18.8","--","332","311","0.00","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:00.00","5","0.0"
Nuoto in piscina,2020-01-03 12:23:49,false,"Nuoto in vasca","1,750","445","00:47:26","--","--","--","--","--","2:06","1:26","--","--","0.00","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","1045","47","28","0:00","28.0","0:00","No","00:07.91","37","0.0"
Ciclismo,2020-01-02 18:07:02,false,"Bergamo Ciclismo","40.02","878","01:05:27","151","172","3.5","--","--","36.7","42.7","1","8","0.00","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","20.0","0:00","No","00:01.49","9","0.0"
Ciclismo indoor,2019-12-31 15:15:27,false,"Ciclismo indoor","36.63","882","01:00:04","157","181","4.0","--","--","36.6","43.9","--","--","0.00","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","20.0","0:00","No","02:47.31","8","0.0"
Sci su pista/Snowboard,2019-12-30 12:48:55,false,"Tre Ville Resort Skiing/Snowboarding","1.85","13","00:02:00.6","103","111","0.0","--","--","55.1","72.3","--","542","0.00","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","27.0","0:00","No","00:00.00","1","0.0"
Sci su pista/Snowboard,2019-12-30 11:54:19,false,"Pinzolo Resort Skiing/Snowboarding","2.48","13","00:02:32.0","93","100","0.0","--","--","58.8","83.2","--","531","0.00","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","24.0","0:00","No","00:00.00","1","0.0"
Sci su pista/Snowboard,2019-12-29 15:12:41,false,"Ponte di Legno Resort Skiing/Snowboarding","5.72","52","00:06:00.4","115","127","0.3","--","--","57.1","83.4","--","776","0.00","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","18.0","0:00","No","00:00.00","1","0.0"
Sci su pista/Snowboard,2019-12-29 14:11:30,false,"Ponte di Legno Resort Skiing/Snowboarding","2.96","16","00:03:07.1","93","102","0.0","--","--","57.0","77.3","--","709","0.00","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","20.0","0:00","No","00:00.00","1","0.0"
Nuoto in piscina,2019-12-28 10:40:28,false,"Nuoto in vasca","2,025","509","01:05:19","--","--","--","--","--","2:02","1:32","--","--","0.00","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","1082","44","26","0:00","29.0","0:00","No","00:00.64","52","0.0"
Sci di fondo classico,2019-12-27 08:45:22,false,"Gromo Cross Country Classic Skiing","7.83","1,041","01:48:57","135","164","2.4","52","170","4.3","63.0","850","784","6.43","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","16.0","0:00","No","01:12.60","8","0.0"
Sci di fondo classico,2019-12-26 19:23:51,false,"Gromo Cross Country Classic Skiing","2.10","509","00:41:16","141","169","3.0","82","159","3.0","5.9","434","--","0.62","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","16.0","0:00","No","01:30.06","3","0.0"
Ciclismo,2019-12-26 09:58:26,false,"Gazzaniga Ciclismo","70.75","1,712","02:18:52","150","182","3.3","--","--","30.6","52.6","536","532","0.00","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","12.0","0:00","No","03:03.05","15","0.0"
Escursionismo,2019-12-25 09:50:36,false,"Gazzaniga Escursionismo","4.05","684","00:46:11","163","183","4.2","100","158","11:24","2:02","665","37","0.88","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","20.0","0:00","No","00:00.00","1","0.0"
Ciclismo,2019-12-24 09:35:49,false,"Gazzaniga Ciclismo","57.01","1,270","02:04:43","135","182","3.2","--","--","27.4","52.2","642","614","0.00","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","14.0","0:00","No","08:12.98","12","0.0"
Corsa,2019-12-22 08:31:37,false,"Gazzaniga Corsa","3.67","255","00:18:18","150","170","2.6","156","174","4:59","4:06","94","86","1.28","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","15.0","0:00","No","03:50.21","4","0.0"
Nuoto in piscina,2019-12-21 11:23:01,false,"Nuoto in vasca","2,400","664","00:50:07","--","--","--","--","--","2:05","0:48","--","--","0.00","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","1354","45","27","0:00","28.0","0:00","No","00:13.23","4","0.0"
Nuoto in piscina,2019-12-19 12:17:16,false,"Nuoto in vasca","1,050","275","00:27:35","--","--","--","--","--","2:03","0:55","--","--","0.00","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","567","44","26","0:00","28.0","0:00","No","00:52.12","15","0.0"
Corsa,2019-12-18 19:14:32,false,"Bergamo Corsa","4.07","293","00:18:28","168","179","3.2","152","166","4:32","3:56","26","6","1.45","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","22.0","0:00","No","00:19.91","5","0.0"
Ciclismo indoor,2019-12-18 18:18:08,false,"Ciclismo indoor","0.00","753","00:53:33","152","176","3.6","--","--","--","--","--","--","0.00","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","26.0","0:00","No","00:00.00","1","0.0"
Nuoto in piscina,2019-12-17 12:18:05,false,"Nuoto in vasca","2,175","575","00:47:50","--","--","--","--","--","2:12","0:48","--","--","0.00","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","1237","47","26","0:00","28.0","0:00","No","00:00.00","1","0.0"
Corsa,2019-12-14 22:10:49,false,"Ponte Nossa Corsa","13.35","914","01:02:56","160","176","3.9","160","175","4:43","3:32","16","133","1.32","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","15.0","0:00","No","01:47.04","14","0.0"
Ciclismo,2019-12-14 10:19:18,false,"Gazzaniga Ciclismo","42.68","1,090","01:29:35","147","181","3.6","--","--","28.6","50.0","560","550","0.00","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","14.0","0:00","No","07:52.40","9","0.0"
Ciclismo indoor,2019-12-13 17:48:17,false,"Ciclismo indoor","33.00","787","00:56:14","154","182","3.9","--","--","35.2","--","--","--","0.00","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","26.0","0:00","No","00:00.00","1","0.0"
Nuoto in piscina,2019-12-12 12:29:39,false,"Nuoto in vasca","2,125","594","00:46:00","--","--","--","--","--","2:10","0:55","--","--","0.00","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","1185","46","26","0:00","28.0","0:00","No","00:02.10","2","0.0"
Corsa,2019-12-11 20:25:47,false,"Bergamo Corsa","7.36","452","00:35:10","151","191","3.3","153","179","4:47","3:42","78","67","1.36","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","16.0","0:00","No","02:00.19","8","0.0"
Ciclismo indoor,2019-12-09 21:16:58,false,"Ciclismo indoor","33.00","724","01:05:05","141","160","2.6","--","--","30.4","--","--","--","0.00","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","27.0","0:00","No","00:00.00","1","0.0"
Sci su pista/Snowboard,2019-12-08 15:07:07,false,"Rovetta Resort Skiing/Snowboarding","2.81","11","00:02:55.9","84","92","0.0","--","--","57.4","83.6","--","611","0.00","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","20.0","0:00","No","00:00.00","1","0.0"
Ciclismo indoor,2019-12-07 10:43:16,false,"Ciclismo indoor","32.00","817","01:03:24","148","173","3.2","--","--","30.3","--","--","--","0.00","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","23.0","0:00","No","00:00.00","1","0.0"
Nuoto in piscina,2019-12-06 19:07:44,false,"Nuoto in vasca","1,500","439","00:32:10","--","--","--","--","--","2:09","0:57","--","--","0.00","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","824","46","26","0:00","29.0","0:00","No","05:43.32","2","0.0"
Nuoto in piscina,2019-12-06 12:17:55,false,"Nuoto in vasca","1,500","436","00:32:04","--","--","--","--","--","2:06","0:56","--","--","0.00","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","821","45","26","0:00","28.0","0:00","No","00:00.00","1","0.0"
Corsa,2019-12-04 20:28:44,false,"Bergamo Corsa","9.31","704","00:49:59","161","183","3.6","157","168","5:22","4:05","141","143","1.19","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","12.0","0:00","No","01:36.67","10","0.0"
Nuoto in piscina,2019-12-04 12:30:20,false,"Nuoto in vasca","1,375","394","00:31:38","--","--","--","--","--","2:18","0:51","--","--","0.00","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","828","50","26","0:00","29.0","0:00","No","06:26.18","2","0.0"
